item,qtyshp,ponum
1171617310,24,100025
1171632910,24,100025
1171632511,24,100025
1171632619,24,100025
1171617110,24,100025
CAP,2,100025
SILKSCARF,6,100025
213004,11,100025
FLOWERS,6,100025
1171617110,24,100025
1171617210,24,100025
1171632511,24,100025
1171632716,24,100025
1171632910,24,100025
1171632813,24,100025
HAIRCLIPL&NC,9,100025
9501907805,288,100025
9501907801,60,100025
1171632619,48,100025
1171632910,72,100025
1171617110,48,100025
1171614503,72,100025
1171614507,72,100025
1171614504,72,100025